,Params,ROC AUC
56,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
57,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 20, 'tolerance': None}",0.9257602862254024
58,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 20, 'tolerance': 0.01}",0.9257602862254024
59,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 20, 'tolerance': 0.001}",0.9257602862254024
60,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 30, 'tolerance': None}",0.92162343470483
61,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 30, 'tolerance': 0.01}",0.92162343470483
62,"{'convergence_mode': 'medium', 'iter': 2000, 'n_factors': 30, 'tolerance': 0.001}",0.92162343470483
63,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
64,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
65,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
66,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 20, 'tolerance': None}",0.9257602862254024
67,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 20, 'tolerance': 0.01}",0.9257602862254024
68,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 20, 'tolerance': 0.001}",0.9257602862254024
69,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 30, 'tolerance': None}",0.92162343470483
70,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 30, 'tolerance': 0.01}",0.92162343470483
71,"{'convergence_mode': 'medium', 'iter': 3000, 'n_factors': 30, 'tolerance': 0.001}",0.92162343470483
72,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
73,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
74,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
75,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 20, 'tolerance': None}",0.9257602862254024
76,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 20, 'tolerance': 0.01}",0.9257602862254024
